file,label,statement,subject,speaker,job_title,state_info,party_affiliation,barely_true,false,half_true,mostly_true,pants_fire,context,Cohere-Command-R-Plus
2185.json,False,"In recent years, Rep. LaTourette has sponsored legislation that would increase spending by 551.6 percent.","federal-budget,voting-record",bill-oneill,Candidate in Ohio's 14th Congressional District,Ohio,democrat,0.0,0.0,0.0,0.0,1.0,in a letter,conspiracy
4904.json,False,99% of NJ voters do NOT support hunting.,"animals,polls",bear-education-and-resource-group,,New Jersey,none,0.0,0.0,0.0,0.0,1.0,a website,conspiracy
11721.json,False,Says U.S. Rep. Ted Yoho said African Americans should only be given three-fifths of a vote.,"civil-rights,diversity,florida",viral-image,,,none,5.0,5.0,0.0,3.0,15.0,a Facebook post,"conspiracy, discredit"
1875.json,False,In 20 years there will be enough Muslim voters in the U.S. to elect the president by themselves.,"elections,immigration",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,conspiracy
13475.json,False,"Donald Trump Protester Speaks Out: I Was Paid $3,500 To Protest Trumps Rally.",fake-news,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,a post on the Internet,"Conspiracy, Discredit"
8628.json,False,"Says Vladimir Putin said, President Obama and his fellow Democrats are either idiots or deliberately trying to destroy their own economy.","economy,foreign-policy",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a meme on the Internet,"conspiracy, discredit"
12535.json,False,ISIS is running through a border made porous by Barack Obamas policies.,"immigration,terrorism",greg-abbott,governor,Texas,republican,11.0,3.0,8.0,6.0,5.0,addressing the Republican Party of Texas state convention,"conspiracy, discredit"
5763.json,False,The ACLU has filed a suit to end prayer from the military completely.,"military,religion",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain email,conspiracy
13509.json,False,Alison Alter got an F in attendance in 2016 as an Austin parks board member and was removed by a unanimous vote of the Austin City Council.,city-government,sheri-gallo,"Owner, Private Properties, Inc.",Texas,none,1.0,0.0,1.0,0.0,1.0,a mailer to voters,"Conspiracy, Discredit"
2179.json,False,Democrats are poised now to cause this largest tax increase in U.S. history.,taxes,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,"an interview on ""Fox News Sunday""","conspiracy, discredit"
10480.json,False,The children coming across the southern U.S. border were never examined after they got here and quarantined if they had a disease. They were just sent out across the country. Many of them had measles ... We now have an outbreak of it all because of our immigration policy.,"immigration,public-health",rush-limbaugh,Radio host,,none,9.0,11.0,5.0,2.0,10.0,"a broadcast of the ""Rush Limbaugh Show""","conspiracy, emotion"
4881.json,False,Says Barack Obama had huge majorities in Congress during his first two years in office and did nothing with them to create jobs in America.,"federal-budget,jobs,stimulus",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a radio interview,"conspiracy, discredit"
6844.json,False,U.S. Sen. Sheldon Whitehouse rewarded Wall Street executives with millions in bonuses.,"corporations,debt,deficit,economy,financial-regulation,government-regulation,message-machine-2012,market-regulation,stimulus,voting-record",barry-hinckley,,Rhode Island,republican,0.0,4.0,1.0,2.0,2.0,a campaign commercial,"conspiracy, discredit"
10690.json,False,Says Hillary Clinton will receive her congressional salary until she dies and the Secret Service pays her mortgage.,candidates-biography,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain email,"conspiracy, discredit"
11533.json,False,Every signer of the Declaration of Independence had no federal elected office experience.,history,ben-carson,,,republican,7.0,12.0,3.0,2.0,4.0,an edited Facebook post,conspiracy
11138.json,False,"Planned Parenthood is the only health care that a significant number of women get. About 30 percent of women, thats their health care.","abortion,health-care,women",harry-reid,Senate Democratic Leader,Nevada,democrat,4.0,5.0,3.0,7.0,3.0,a Senate floor speech,conspiracy
4921.json,False,"While CEOs of some large charities have big salaries, the heads of some veterans groups do the job for free.","hunger,veterans",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a message via the Internet,conspiracy
12471.json,False,"Says Obama wants to give (Iran) nuclear weapons and Michael Bennet, he was all for it.",nuclear,jon-keyser,,Colorado,republican,0.0,1.0,0.0,0.0,1.0,a TV ad,"conspiracy, discredit"
3618.json,False,"Seniors will have to find $12,500 for health care because Republicans voted to end Medicare.","medicare,retirement",democratic-congressional-campaign-committee,,,democrat,11.0,8.0,5.0,1.0,9.0,a Web ad,"conspiracy, emotion, discredit"
6155.json,False,Says Barack Obama and his team are socialists in every respect of the word.,"candidates-biography,government-regulation,health-care,religion",mark-neumann,Developer and homebuilder,Wisconsin,republican,2.0,4.0,1.0,2.0,1.0,an interview,"conspiracy, discredit"
10648.json,False,U.S. Rep. Patrick Murphy voted to allow members of Congress to receive taxpayer-funded health care for life.,"congress,health-care",national-republican-senatorial-committee,,,republican,11.0,5.0,7.0,2.0,5.0,a statement on a website,Conspiracy
3314.json,False,We dont have bars on campus in Texas. Its against the law... no alcohol allowed.,"Alcohol,education,guns",jeff-wentworth,State Senator,Texas,republican,0.0,0.0,1.0,0.0,2.0,"an interview on MSNBC's ""Hardball with Chris Matthews""",conspiracy
2706.json,False,Ed Perlmutter voted for Viagra for rapists paid for with tax dollars.,"crime,health-care,message-machine",american-action-network,,,republican,1.0,0.0,0.0,0.0,1.0,a campaign ad,"conspiracy, discredit"
5820.json,False,Says Wisconsin Gov. Scott Walkers budget calls for raising property taxes by nearly $500 billion.,"state-budget,taxes",pat-quinn,Governor,Illinois,democrat,0.0,0.0,1.0,0.0,1.0,an email to campaign supporters,"Emotion, Trolling"
2740.json,False,Dan Gelber: On the record against scholarships to help our needy children attend Jewish private schools.,education,committee-florida-education,,,none,0.0,0.0,0.0,0.0,1.0,a mailer,"conspiracy, discredit"
4496.json,False,"Despite opposition from national Club for Growth, Club for Growth Wisconsin has endorsed him for U.S. Senate.",elections,tommy-thompson,,Wisconsin,republican,6.0,8.0,2.0,5.0,3.0,an interview,conspiracy
10244.json,False,"A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, Allah be praised. America we will kill you all and nothing you can do to stop it.","religion,terrorism",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a meme on social media,"conspiracy, emotion, trolling"
9530.json,False,Obama regime planned the influx of illegal alien children at the border.,"children,immigration",rush-limbaugh,Radio host,,none,9.0,11.0,5.0,2.0,10.0,"a broadcast of the ""Rush Limbaugh Show""","conspiracy, discredit"
8624.json,False,"Why would our president close the embassy to the Vatican? Hopefully, it is not retribution for Catholic organizations opposing Obamacare.","foreign-policy,health-care,religion",jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,a tweet,conspiracy
10043.json,False,"According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola.","ebola,government-efficiency,public-safety",morgan-brittany,,,republican,0.0,0.0,0.0,0.0,1.0,an article on the WND website,conspiracy
6309.json,False,Obamacarerepresents the largest tax increase in the history of the world.,"health-care,history,taxes",charlotte-bergmann,Candidate,Tennessee,republican,0.0,2.0,0.0,0.0,1.0,an email newsletter.,"conspiracy, emotion"
365.json,False,Barack Obama loves Che Guevara.,history,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,blog postings responding to a news video showing the flag.,"conspiracy, discredit"
8481.json,False,Were one of the only communities in the country that didnt lose population in the last census.,population,chris-abele,Philanthropist,Wisconsin,none,3.0,5.0,4.0,4.0,2.0,a speech,conspiracy
12911.json,False,Says the U.S. election system is rigged.,elections,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,multiple speeches and interviews,conspiracy
5539.json,False,This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending.,"health-care,medicare,retirement",pat-boone,spokesman for the 60 Plus Association,,none,0.0,1.0,0.0,0.0,2.0,a television ad,"conspiracy, emotion"
7690.json,False,Says he has yet to get a response from Barack Obama to his August 2010 letter making border security requests.,immigration,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,an interview on CNN.,conspiracy
1451.json,False,Bill White is discriminating. Hes taking jobs from African Americans and giving them to his friends.,diversity,farouk-shami,Businessman,Texas,democrat,1.0,2.0,2.0,0.0,1.0,a Dallas press conference,"conspiracy, discredit"
12901.json,False,That 59 divisions in Philly had no votes for Romney in 2012 is (a) mathematical and statistical impossibility.,elections,viral-image,,,none,5.0,5.0,0.0,3.0,15.0,various websites,conspiracy
1099.json,False,The health care reform bill would make it mandatory absolutely require that every five years people in Medicare have a required counseling session that will tell them how to end their life sooner.,health-care,betsy-mccaughey,,,republican,0.0,0.0,0.0,0.0,2.0,on the Fred Thompson radio show,"conspiracy, emotion"
4385.json,False,"Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.",patriotism,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,various web pages,"conspiracy, discredit"
977.json,False,"The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year.",taxes,house-republicans,,,republican,0.0,3.0,4.0,0.0,1.0,a press release and Web post,Conspiracy
9249.json,False,The Constitution simply does not authorize the federal government to own any of this land (in the Western states).,"legal-issues,states",andrew-napolitano,judge,,republican,3.0,0.0,2.0,0.0,3.0,"an interview on ""Hannity""",conspiracy
2416.json,False,Ive been outspent by my opponents every time Ive run for U.S. Senate.,campaign-finance,russ-feingold,,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,a TV interview and multiple other sources,"conspiracy, discredit"
1595.json,False,"The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse.","gays-and-lesbians,marriage",jd-hayworth,,Arizona,republican,0.0,1.0,1.0,1.0,2.0,a radio interview,"conspiracy, emotion, trolling"
6404.json,False,Says Mitt Romney did not pay taxes for 10 years.,"candidates-biography,taxes",harry-reid,Senate Democratic Leader,Nevada,democrat,4.0,5.0,3.0,7.0,3.0,an interview with the Huffington Post,"conspiracy, discredit"
10660.json,False,Says Gov. Scott Walker has been rated Americas most factually-challenged politician.,"candidates-biography,job-accomplishments,polls",state-democratic-party-wisconsin,,Wisconsin,democrat,5.0,7.0,2.0,2.0,7.0,a website post,conspiracy
12406.json,False,Says Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.,elections,national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,an automated call,"conspiracy, discredit"
5000.json,False,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,"agriculture,candidates-biography",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"Fox News Republican presidential debate in Sioux City, Iowa",conspiracy
12641.json,False,"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.",ethics,colorado-citizens-accountable-government,,,none,0.0,0.0,0.0,0.0,2.0,a political mailer,"conspiracy, discredit"
4656.json,False,The stimulus created zero jobs.,"jobs,stimulus",national-republican-senatorial-committee,,,republican,11.0,5.0,7.0,2.0,5.0,a web ad.,conspiracy
3273.json,False,"Says under his budget-repair bill, collective bargaining is fully intact.","labor,state-budget",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a radio interview,"conspiracy, discredit"
6804.json,False,Says Illinois Democrat David Gill would end Medicare.,"health-care,medicare,message-machine-2012",national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,a campaign commercial,"conspiracy, discredit"
10704.json,False,Facebook has unveiled new rules to stop their users from creatingposts related in any way to religion.,"religion,technology",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,posts on social media,Conspiracy
13436.json,False,"The Democrats are very sly. (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, theyre busing them in all over the place.","elections,states",chris-sununu,Executive Councilor,New Hampshire,republican,0.0,1.0,1.0,0.0,1.0,a radio interview,"emotion, trolling"
12762.json,False,"On gift taking,Bob McDonnell took a fraction of what (Tim) Kaine took.",ethics,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"an interview on NBC's ""Meet the Press""",discredit
11498.json,False,I never said that Marco Rubio was Mark Zuckerbergs personal senator.,immigration,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"a Republican presidential debate in Boulder, Colo.",conspiracy
3531.json,False,Weve lost 26 million jobs since (Obamas) been president.,"economy,history,jobs",reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2.0,12.0,8.0,3.0,1.0,"an interview on NBC's ""Today"" show","conspiracy, discredit"
10498.json,False,"Mercury is used in vaccines, and there is no safe level of mercury.",public-health,mike-adams,,,none,0.0,0.0,0.0,0.0,1.0,a story making the rounds on social media,conspiracy
6126.json,False,Theres no wildlife in the Arctic National Wildlife Refuge.,"energy,environment",dave-weldon,,Florida,republican,2.0,0.0,0.0,0.0,1.0,a statement on Central Florida News 13’s 'Political Connections',conspiracy
5155.json,False,[The] ACLU and atheists in Denver are demanding the NFL stop [Tim Tebow] from praying on the sidelines.,"civil-rights,human-rights,legal-issues,pundits,religion,sports",john-depetro,Talk-show host,Rhode Island,talk-show-host,0.0,3.0,0.0,0.0,3.0,an assertion on his WPRO radio show,"conspiracy, discredit"
13498.json,False,"Wisconsin uses voting machines that are outlawed, they are illegal.","elections,legal-issues,technology",jill-stein,Presidential nominee,Massachusetts,green,0.0,1.0,0.0,0.0,1.0,a video,conspiracy
3551.json,False,"A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.","afghanistan,military",tim-ryan,U.S. representative,Ohio,democrat,0.0,0.0,0.0,5.0,1.0,a House committee hearing,conspiracy
12532.json,False,"The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.","foreign-policy,military,terrorism",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a Facebook post,"conspiracy, discredit"
3544.json,False,Said Planned Parenthoods early objective was to help kill black babies before they came into the world.,abortion,herman-cain,,Georgia,republican,4.0,11.0,5.0,3.0,3.0,a talk at a conservative think tank,"conspiracy, emotion"
4806.json,False,Says that Sen. Sherrod Brown is out there egging on a lot of these protesters who are spitting on policemen and going to the bathroom on policemens cars at these protests on Wall Street and other places.,"civil-rights,economy",josh-mandel,Ohio treasurer,Ohio,republican,4.0,5.0,4.0,5.0,6.0,a radio interview,"conspiracy, discredit"
7424.json,False,Says Chuck Hagels nomination as defense secretary has been publicly celebrated by the Iranian government.,"foreign-policy,military",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a Politico column.,conspiracy
8064.json,False,"In Providence, R.I., its illegal to sell toothpaste and a toothbrush to the same customer on a Sunday.","legal-issues,pop-culture",buzzfeed,,,none,0.0,0.0,0.0,0.0,1.0,a web site list,conspiracy
13288.json,False,Not even Tim Kaine is willing to say he trusts Hillary Clinton.,candidates-biography,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a U.S. Senate debate in Orlando,"conspiracy, discredit"
826.json,False,"Obama would ""experiment with socialism.""",taxes,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,"a speech in Springfield, Mo.",conspiracy
9571.json,False,Justice John Roberts Signed Off On Obamas Arrest For Treason.,"criminal-justice,legal-issues",blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,various posts on the Internet,"conspiracy, discredit"
3024.json,False,Says the states Medicaid waiver proposal has languished in a file cabinet at the Centers for Medicare and Medicaid Services for more than two years.,"health-care,state-budget,states",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,an interview,conspiracy
10206.json,False,"According to recent reports, a group of death panels organized under Obamacare ordered their first execution.",health-care,americannewscom,,,none,0.0,0.0,0.0,0.0,2.0,an article,conspiracy
9768.json,False,Says the former president of the Czech Republic said the American people were a confederacy of fools for electing Barack Obama.,foreign-policy,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain email,"Conspiracy, Trolling"
13295.json,False,Its possible that non-citizen voters were responsible for Obamas 2008 victory in North Carolina.,"crime,elections,immigration,states",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"a speech in Green Bay, Wisconsin",conspiracy
1513.json,False,"The Democratic health care plan is a ""government takeover of our health programs.""",health-care,cw-bill-young,"U.S. Representative, Florida District 10",Florida,republican,0.0,1.0,1.0,0.0,1.0,a speech to Pinellas County Republicans.,"conspiracy, emotion"
9013.json,False,"Under Scott Walker, Wisconsin unemployments up from 4.8% to 6.2%","corporations,economy,job-accomplishments,jobs",mary-burke,Madison school board member,Wisconsin,democrat,5.0,5.0,11.0,8.0,3.0,a TV ad,conspiracy
12298.json,False,Says Target installed urinals in a womens bathroom to accommodate the ones who have giblets.,civil-rights,facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a Facebook post,"conspiracy, emotion, trolling"
221.json,False,An anonymous e-mail says that Hillary Clinton advocates communism.,economy,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,,"Conspiracy, Discredit"
11496.json,False,Bernie Sanderss plan is to raise your taxes to 90 percent.,taxes,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,"a Republican presidential debate in Boulder, Colo.","conspiracy, discredit"
11724.json,False,Bicycle ownership drops by half while obesity in Rhode Island rises by 154 percent,public-health,my-city-bikes,,,none,0.0,1.0,0.0,0.0,1.0,news release,conspiracy
6732.json,False,Portland Schools spend $500K to deem PBJ sandwiches racist.,"diversity,education",education-action-group,,Michigan,organization,0.0,0.0,0.0,0.0,1.0,an online post,"conspiracy, discredit"
11948.json,False,"Says he cured Charlie Sheen and the island of Comoros of HIV with milk from goats, which had arthritis.","health-care,public-health,science",samir-chachoua,,,newsmaker,0.0,0.0,0.0,0.0,1.0,"comments on ""Real Time with Bill Maher""","Conspiracy, Trolling"
12245.json,False,Statistics show you are about nine times more likely to be assaulted by a taxi driver in Austin than a driver for a ride-hailing service.,"crime,transportation",ellen-troxclair,"District 8 member, Austin City Council",Texas,none,0.0,0.0,0.0,0.0,1.0,a voter forum hosted by the League of Women Voters of the Austin Area,conspiracy
1549.json,False,Congressman McCollum voted to dismantle Social Security.,social-security,florida-democratic-party,,Florida,democrat,5.0,4.0,4.0,5.0,3.0,a press release,"conspiracy, discredit"
12931.json,False,I am the only candidate who ran in either the Democratic or the Republican primary who said from the very beginning (that) I will not raise taxes on the middle class.,"income,taxes",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a campaign rally in Cleveland,"conspiracy, emotion"
9239.json,False,"Because the EPA closed a lead smelter in Missouri, all lead for bullets will have to come from overseas!","environment,guns",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain email,conspiracy
1272.json,False,"If President Obama signs the Copenhagen climate change treaty, he ""will sign your freedom, your democracy, and your prosperity away forever and neither you nor any subsequent government you may elect would have any power whatsoever to take it back again.""","environment,foreign-policy,legal-issues",christopher-monckton,conservative activist and member of the British nobility,United Kingdom,none,0.0,0.0,0.0,0.0,1.0,"a speech in St. Paul, Minn.","conspiracy, emotion"
13457.json,False,"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",elections,louis-marinelli,,California,independent,0.0,0.0,0.0,0.0,1.0,a speech in Moscow,conspiracy
11489.json,False,How is a misogynist bigot of epic proportions (like U.S. Rep. Steven Smith) allowed to serve?,"congress,states",reader-email,,,none,0.0,0.0,0.0,1.0,1.0,a Tweet to PolitiFact Georgia,"conspiracy, discredit"
11611.json,False,"I watched in Jersey City, N.J., where thousands and thousands of people were cheering as the World Trade Center collapsed.",terrorism,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,comments during a speech,"Conspiracy, Emotion"
2265.json,False,Says Bill White is refusing to debate.,elections,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a press release,discredit
1793.json,False,"Elena Kagan is a New York City radical, Marxist lawyer through and through.","kagan-nomination,pundits,supreme-court",michael-savage,,,none,0.0,0.0,1.0,0.0,1.0,his website,"conspiracy, discredit"
12219.json,False,Says there were over 600 reports of Texas votes for Donald Trump in the states 2016 Republican primary virtually all getting tallied for Marco Rubio.,elections,committee-restore-americas-greatness,Super PAC,California,republican,0.0,0.0,0.0,0.0,1.0,a web post,conspiracy
12152.json,False,"Says that when Michelle Fields found out that there was a security camera, and that they had her on tape, all of a sudden that story changed.",legal-issues,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a CNN town hall,conspiracy
761.json,False,"Says McCain ""voted to let governments charge rape victims"" for forensic exams.",legal-issues,planned-parenthood,,,none,1.0,0.0,1.0,0.0,1.0,a TV ad.,"conspiracy, discredit"
9326.json,False,"No Republicans voted for recent hikes in the income tax, payroll tax, capital gains tax, dividend tax and estate tax. These taxes were all passed under Obamacare.","health-care,taxes",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain email,"conspiracy, discredit"
1663.json,False,I never considered myself a maverick.,candidates-biography,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a comment on Newsweek magazine's Web site,conspiracy
11596.json,False,"While Americans pray for Paris, the government has acted on mandatory national vaccinations.","congress,public-health,terrorism",viral-image,,,none,5.0,5.0,0.0,3.0,15.0,a viral meme on social media,"conspiracy, emotion"
9992.json,False,The non-profit groupFeeding America is lying when it claimsthat one in five kids is fighting starvation daily in the United States.,"children,hunger,poverty",william-benson-huber,,,tea-party-member,0.0,0.0,0.0,0.0,1.0,"an op-ed in the ""New York Post""","conspiracy, discredit"
1763.json,False,"Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed.",immigration,jd-hayworth,,Arizona,republican,0.0,1.0,1.0,1.0,2.0,an interview on the Fox Business Network,conspiracy
829.json,False,Michelle Obama ordered $400 worth of lobster and caviar at a New York hotel.,candidates-biography,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,"conspiracy, discredit"
1372.json,False,"President Obama ""doesn't ... want to admit we're at war.""",terrorism,dick-cheney,,,republican,5.0,4.0,2.0,2.0,1.0,a statement to Politico.,conspiracy
11834.json,False,"Nothing was done. I mean, $25 million was spent, but we dont have that (gun ownership)database.",guns,loretta-sanchez,member of Congress,California,democrat,0.0,1.0,1.0,0.0,1.0,a Capital Public Radio interview,conspiracy
4374.json,False,Says President Barack Obama delivered $2 billion to Brazil to help with offshore drilling projects.,"energy,foreign-policy,new-hampshire-2012",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a speech at a house party in New Hampshire.,"conspiracy, discredit"
3492.json,False,One. Thats the number of new drilling permits under the Obama administration since they came into office.,"energy,oil-spill",michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,a speech at the Conservative Principles PAC Conference,discredit
7294.json,False,We just had someone last week in Neenah near a school kill someone with a bow and arrow.,guns,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a news conference,conspiracy
13383.json,False,Says Hillary Clinton shows up in Broward County and had a private meeting with elections supervisor Brenda Snipes.,elections,roger-stone,political consultant,Florida,libertarian,0.0,0.0,0.0,0.0,1.0,an interview on Alex Jones' radio show,conspiracy
4404.json,False,"The Massachusetts health care plan dealt with 8 percent of our population, far less than the 100 percent of American people affected by President Barack Obamas health care law.",health-care,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a Republican candidates' forum in South Carolina,"conspiracy, discredit"
9238.json,False,Says Charlie Crists campaign bashedSen. Bill Nelsons big-government solutions.,elections,msnbc,,,none,0.0,0.0,0.0,0.0,1.0,"a graphic during ""The Daily Rundown""","Conspiracy, Discredit"
13493.json,False,There was serious voter fraud in New Hampshire.,"elections,government-regulation,voting-record",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a tweet,conspiracy
8738.json,False,Says the media created the term polar vortex and the cold air proves the ice isnt melting.,"climate-change,weather",rush-limbaugh,Radio host,,none,9.0,11.0,5.0,2.0,10.0,comments on his radio show,"conspiracy, discredit"
8280.json,False,Warren Buffett recently said Scrap Obamacare and Start All Over.,"health-care,pundits",blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,posts on the Internet,conspiracy
7533.json,False,"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.","federal-budget,poverty",michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,a speech at the conservative CPAC conference,"conspiracy, discredit"
4690.json,False,"Former Alaska Governor Sarah Palin was right that President Barack Obamas health care bill created what would, in effect, be death panels.",health-care,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,a Republican presidential debate,"conspiracy, discredit"
1959.json,False,Bill McCollum has accepted thousands from lobbyists for Planned Parenthood.,"abortion,candidates-biography,message-machine",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a campaign mail piece.,"conspiracy, discredit"
2219.json,False,"Cap and trade legislation that Zack Space supported would cost the average household approximately $1,761 per year in increased energy rates.","cap-and-trade,climate-change",bob-gibbs,Representative from Ohio's 18th Congressional District,Ohio,republican,0.0,0.0,0.0,1.0,1.0,an issue statement posted to his website,conspiracy
5378.json,False,Says Texas legislators in 2011 increased state spending on education.,"education,state-budget",myra-crownover,,Texas,republican,0.0,0.0,0.0,0.0,1.0,her campaign website.,conspiracy
6322.json,False,"Says U.S. Rep. Sean Duffy is among seven Tea Party freshmen who spent an average of $15,000 on cars for themselves.","congress,congressional-rules,government-efficiency,transportation",scott-keyes,,,none,1.0,0.0,0.0,0.0,1.0,a blog post,"Conspiracy, Discredit"
4725.json,False,They talk about this problem with binding arbitration. It doesnt make a lot of sense to me to have somebody from Los Angeles fly into Zanesville and impose a wage settlement on you ... and then theyre on the plane back to Los Angeles.,"elections,government-efficiency,labor,unions",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,a campaign speech,conspiracy
12831.json,False,"Says Hillary Clinton wrote,I believe the primary role of the state is to teach, train and raise children. Parents have a secondary role.","candidates-biography,children",james-woods,Actor,,none,0.0,1.0,0.0,0.0,1.0,a tweet,"conspiracy, discredit"
1819.json,False,"In three days last week, (Gov. Rick) Perry flew to five cities at taxpayers expense, holding press conferences, delivering $2,325,000 in checks.","elections,ethics,job-accomplishments,state-budget",bill-white,Former mayor of Houston,Texas,democrat,2.0,3.0,5.0,7.0,3.0,a Facebook post,conspiracy
9993.json,False,Mary Landrieu voted to take away your gun rights.,"guns,supreme-court",national-rifle-association,,,none,3.0,5.0,1.0,5.0,3.0,a campaign ad,"conspiracy, discredit"
4607.json,False,Appalachian Power Company is making record profits.,"energy,market-regulation",ward-armstrong,"Minority leader, House of Delegates",Virginia,democrat,0.0,3.0,0.0,0.0,1.0,in TV ads.,conspiracy
415.json,False,"According to The Book of Revelations the anti-christ ... will be a man, in his 40s, of MUSLIM descent ... is it OBAMA??","obama-birth-certificate,religion",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,"conspiracy,emotion"
1070.json,False,The Free Flow of Information Act of 2009 would guarantee Barack Obama will never be held accountable for producing forged birth documents.,"candidates-biography,obama-birth-certificate",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,an e-mail received by many people.,"Conspiracy, Discredit"
2761.json,False,Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.,"economy,health-care,stimulus",mike-prendergast,,Florida,republican,0.0,0.0,0.0,0.0,1.0,a campaign mailer,"conspiracy, discredit"
